State,Title,Size,AvgSalary
New Jersey,Software Quality Assurance Analysts and Testers,6540,115180
New Jersey,Web Developers,2400,85490
New Jersey,Web and Digital Interface Designers,3480,93020
New Mexico,Computer Programmers,830,81330
New Mexico,Software Developers,4270,125860
New Mexico,Software Quality Assurance Analysts and Testers,550,123060
New Mexico,Web and Digital Interface Designers,8890,75440
New York,Computer Programmers,8430,116230
New York,Software Developers,105460,150020
New York,Software Quality Assurance Analysts and Testers,11750,123920
New York,Web Developers,5950,94340
New York,Web and Digital Interface Designers,15180,125100
North Carolina,Computer Programmers,3390,103100
North Carolina,Software Developers,58620,130970
North Carolina,Software Quality Assurance Analysts and Testers,8360,100100
North Carolina,Web Developers,1660,82110
North Carolina,Web and Digital Interface Designers,3070,90280
North Dakota,Computer Programmers,230,92760
North Dakota,Software Developers,1840,106870
North Dakota,Software Quality Assurance Analysts and Testers,150,81430
North Dakota,Web Developers,160,68970
North Dakota,Web and Digital Interface Designers,8890,73590
Ohio,Computer Programmers,1890,83870
Ohio,Software Developers,42250,112610
Ohio,Software Quality Assurance Analysts and Testers,4500,88900
Ohio,Web Developers,1580,90530
Ohio,Web and Digital Interface Designers,2010,87330
Oklahoma,Computer Programmers,1030,112410
Oklahoma,Software Developers,7670,111100
Oklahoma,Software Quality Assurance Analysts and Testers,1210,72340
Oklahoma,Web Developers,400,85380
Oklahoma,Web and Digital Interface Designers,510,66210
Oregon,Computer Programmers,1800,111030
Oregon,Software Developers,21650,131310
Oregon,Software Quality Assurance Analysts and Testers,2170,97840
Oregon,Web Developers,1100,74620
Oregon,Web and Digital Interface Designers,1620,110460
Pennsylvania,Computer Programmers,4320,94120
Pennsylvania,Software Developers,41300,117110
Pennsylvania,Software Quality Assurance Analysts and Testers,5490,93720
Pennsylvania,Web Developers,2690,103540
Pennsylvania,Web and Digital Interface Designers,2540,86820
Rhode Island,Computer Programmers,430,97170
Rhode Island,Software Developers,5460,135030
Rhode Island,Software Quality Assurance Analysts and Testers,320,101820
Rhode Island,Web Developers,620,74750
Rhode Island,Web and Digital Interface Designers,8890,104200
South Carolina,Computer Programmers,1160,103460
South Carolina,Software Developers,11810,116790
South Carolina,Software Quality Assurance Analysts and Testers,1610,88310
South Carolina,Web Developers,1060,90670
South Carolina,Web and Digital Interface Designers,660,77650
South Dakota,Computer Programmers,100,65320
South Dakota,Software Developers,2240,94500
South Dakota,Software Quality Assurance Analysts and Testers,310,68260
South Dakota,Web Developers,400,52770
South Dakota,Web and Digital Interface Designers,90,108910
Tennessee,Computer Programmers,1410,118190
Tennessee,Software Developers,16560,113410
Tennessee,Software Quality Assurance Analysts and Testers,2320,84300
Tennessee,Web Developers,1580,81940
Tennessee,Web and Digital Interface Designers,1800,74910
Texas,Computer Programmers,7530,100470
Texas,Software Developers,138510,125890
Texas,Software Quality Assurance Analysts and Testers,22070,103890
Texas,Web Developers,6130,98090
Texas,Web and Digital Interface Designers,8460,105320
Utah,Computer Programmers,2020,100430
Utah,Software Developers,25930,121260
Utah,Software Quality Assurance Analysts and Testers,3060,84520
Utah,Web Developers,1580,75200
Utah,Web and Digital Interface Designers,1290,103440
Vermont,Computer Programmers,150,86390
Vermont,Software Developers,1710,120030
Vermont,Software Quality Assurance Analysts and Testers,100,71230
Vermont,Web Developers,190,83470
Vermont,Web and Digital Interface Designers,8890,89280
Virginia,Computer Programmers,2440,104790
Virginia,Software Developers,86680,139920
Virginia,Software Quality Assurance Analysts and Testers,9120,114330
Virginia,Web Developers,4640,112590
Virginia,Web and Digital Interface Designers,3530,85010
Washington,Computer Programmers,3460,158520
Washington,Software Developers,89110,159990
Washington,Software Quality Assurance Analysts and Testers,10840,123280
Washington,Web Developers,4820,120910
Washington,Web and Digital Interface Designers,8250,119920
West Virginia,Computer Programmers,250,75420
West Virginia,Software Developers,1890,94080
West Virginia,Software Quality Assurance Analysts and Testers,360,63530
West Virginia,Web Developers,300,83570
West Virginia,Web and Digital Interface Designers,90,66640
Wisconsin,Computer Programmers,2280,91770
Wisconsin,Software Developers,21800,107500
Wisconsin,Software Quality Assurance Analysts and Testers,3540,88280
Wisconsin,Web Developers,2880,70170
Wisconsin,Web and Digital Interface Designers,820,91270
Wyoming,Computer Programmers,8890,78560
Wyoming,Software Developers,670,127790
Wyoming,Web Developers,40,64560
Wyoming,Web and Digital Interface Designers,200,97900
Puerto Rico,Computer Programmers,1020,51910
Puerto Rico,Software Developers,1440,60960
Puerto Rico,Software Quality Assurance Analysts and Testers,270,54410
Puerto Rico,Web Developers,260,54010
Puerto Rico,Web and Digital Interface Designers,160,41550
Virgin Islands,Software Developers,30,132690
